MSSV,Student_Profile,Current_Semester,GPA_Cumulative,Total_Credits,Credits_Completed,Credits_Remaining,Completion_Rate,Average_Credits_Per_Semester,Remaining_To_OJT,Failed_Courses,Retake_Count,Missing_Prerequisite_Courses,Academic_Warning_Count,Suspension_Count,Planned_OJT_Semester,Risk_Score,Risk_Level,OJT_Delay_Risk,OJT_Eligible,OJT_Readiness,AI_Recommendation
SE1801073,AtRisk,6,5.54,120,96,24,80.0,16.0,4,5,3,2,1,0,6,14,High,1,False,50.0,Complete at least 4 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801074,Good,5,7.36,120,96,24,80.0,19.2,4,0,1,1,0,0,6,4,Low,0,False,80.0,Complete at least 4 more credits. Complete all prerequisite courses.
SE1801075,LateStarter,4,6.87,120,67,53,55.83,16.75,33,3,2,1,1,0,5,11,High,1,False,49.5,Complete at least 33 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801076,Excellent,4,9.35,120,72,48,60.0,18.0,28,0,0,0,0,0,5,2,Low,0,False,76.0,Complete at least 28 more credits.
SE1801077,Average,5,6.27,120,85,35,70.83,17.0,15,2,2,1,1,0,6,8,Medium,0,False,61.5,Complete at least 15 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801078,Average,4,6.71,120,70,50,58.33,17.5,30,2,2,1,1,0,5,9,Medium,0,False,54.0,Complete at least 30 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801079,Recovery,5,6.18,120,85,35,70.83,17.0,15,1,4,1,0,0,7,7,Medium,0,False,65.5,Complete at least 15 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801080,Average,6,6.07,120,92,28,76.67,15.33,8,3,2,0,0,0,7,5,Low,0,False,73.0,Complete at least 8 more credits. Retake failed courses as soon as possible.
SE1801081,Recovery,4,6.56,120,70,50,58.33,17.5,30,1,2,0,1,0,5,7,Medium,0,False,63.0,Complete at least 30 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801082,Excellent,3,8.56,120,65,55,54.17,21.67,35,0,0,0,0,0,6,3,Low,0,False,72.5,Complete at least 35 more credits.
SE1801083,Good,4,7.2,120,78,42,65.0,19.5,22,0,0,1,0,0,6,4,Low,0,False,73.0,Complete at least 22 more credits. Complete all prerequisite courses.
SE1801084,Good,5,7.65,120,96,24,80.0,19.2,4,0,0,0,0,0,6,1,Low,0,False,88.0,Complete at least 4 more credits.
SE1801085,AtRisk,6,5.36,120,95,25,79.17,15.83,5,5,3,2,1,1,6,16,High,1,False,41.5,Complete at least 5 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801086,AtRisk,5,5.47,120,79,41,65.83,15.8,21,4,4,1,2,1,7,16,High,1,False,35.5,Complete at least 21 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801087,Critical,5,3.69,120,71,49,59.17,14.2,29,7,5,2,3,1,6,20,High,1,False,9.5,Complete at least 29 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801088,Average,4,6.22,120,69,51,57.5,17.25,31,2,4,2,1,0,5,12,High,1,False,43.5,Complete at least 31 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801089,LateStarter,2,6.78,120,30,90,25.0,15.0,70,4,4,1,0,0,6,10,Medium,0,False,29.0,Complete at least 70 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801090,Recovery,8,6.45,120,108,12,90.0,13.5,0,2,3,1,0,0,8,6,Medium,0,False,76.0,Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801091,Critical,2,3.8,120,29,91,24.17,14.5,71,7,5,2,3,1,5,21,High,1,False,0.0,Complete at least 71 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801092,Good,2,7.62,120,45,75,37.5,22.5,55,0,2,1,0,0,5,6,Medium,0,False,52.5,Complete at least 55 more credits. Complete all prerequisite courses.
SE1801093,Good,4,7.34,120,73,47,60.83,18.25,27,1,1,1,0,0,5,6,Medium,0,False,65.5,Complete at least 27 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801094,Excellent,6,8.79,120,114,6,95.0,19.0,0,0,0,0,0,0,7,0,Low,0,True,97.0,You are ready for OJT.
SE1801095,Average,4,6.42,120,64,56,53.33,16.0,36,1,4,0,1,0,5,9,Medium,0,False,56.0,Complete at least 36 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801096,Good,7,7.35,120,109,11,90.83,15.57,0,0,0,1,0,0,8,2,Low,0,False,88.5,Complete all prerequisite courses.
SE1801097,Critical,3,3.58,120,28,92,23.33,9.33,72,6,8,2,3,1,6,21,High,1,False,0.0,Complete at least 72 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801098,Good,5,7.36,120,92,28,76.67,18.4,8,0,2,1,0,0,6,4,Low,0,False,76.0,Complete at least 8 more credits. Complete all prerequisite courses.
SE1801099,Excellent,7,8.81,120,117,3,97.5,16.71,0,0,0,0,0,0,8,0,Low,0,True,98.5,You are ready for OJT.
SE1801100,Critical,3,4.83,120,33,87,27.5,11.0,67,5,5,3,3,2,6,24,High,1,False,0.0,Complete at least 67 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801101,Excellent,7,9.76,120,120,0,100.0,17.14,0,0,0,0,0,0,8,0,Low,0,True,100.0,You are ready for OJT.
SE1801102,AtRisk,6,5.04,120,89,31,74.17,14.83,11,5,6,3,2,0,6,17,High,1,False,29.5,Complete at least 11 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801103,Average,1,6.28,120,19,101,15.83,19.0,81,2,1,0,1,0,6,8,Medium,0,False,36.5,Complete at least 81 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801104,Excellent,4,9.17,120,75,45,62.5,18.75,25,0,0,0,0,0,6,2,Low,0,False,77.5,Complete at least 25 more credits.
SE1801105,Excellent,5,9.91,120,100,20,83.33,20.0,0,0,0,0,0,0,7,0,Low,0,True,90.0,You are ready for OJT.
SE1801106,AtRisk,7,5.74,120,95,25,79.17,13.57,5,5,6,3,2,1,8,19,High,1,False,24.5,Complete at least 5 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801107,Average,5,6.76,120,88,32,73.33,17.6,12,1,4,1,0,0,6,7,Medium,0,False,67.0,Complete at least 12 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801108,Good,5,7.41,120,91,29,75.83,18.2,9,1,1,1,0,0,7,5,Low,0,False,74.5,Complete at least 9 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801109,Good,3,7.97,120,62,58,51.67,20.67,38,0,0,1,0,0,5,5,Low,0,False,65.0,Complete at least 38 more credits. Complete all prerequisite courses.
SE1801110,Average,1,6.01,120,16,104,13.33,16.0,84,2,4,2,0,0,5,10,Medium,0,False,22.0,Complete at least 84 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801111,Average,2,6.89,120,38,82,31.67,19.0,62,2,1,1,0,0,6,8,Medium,0,False,45.0,Complete at least 62 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801112,Good,4,7.34,120,70,50,58.33,17.5,30,0,2,0,0,0,5,3,Low,0,False,71.0,Complete at least 30 more credits.
SE1801113,Good,4,7.66,120,73,47,60.83,18.25,27,0,2,0,0,0,6,3,Low,0,False,72.5,Complete at least 27 more credits.
SE1801114,Excellent,6,9.77,120,113,7,94.17,18.83,0,0,0,0,0,0,7,0,Low,0,True,96.5,You are ready for OJT.
SE1801115,Good,2,7.3,120,43,77,35.83,21.5,57,1,2,1,0,0,6,7,Medium,0,False,48.5,Complete at least 57 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801116,Good,3,8.17,120,55,65,45.83,18.33,45,1,2,1,0,0,5,7,Medium,0,False,54.5,Complete at least 45 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801117,Good,1,8.39,120,22,98,18.33,22.0,78,0,0,0,0,0,5,3,Low,0,False,51.0,Complete at least 78 more credits.
SE1801118,Good,5,7.98,120,90,30,75.0,18.0,10,1,2,0,0,0,7,3,Low,0,False,78.0,Complete at least 10 more credits. Retake failed courses as soon as possible.
SE1801119,Average,2,6.87,120,42,78,35.0,21.0,58,1,4,2,1,0,6,12,High,1,False,33.0,Complete at least 58 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801120,Good,5,8.36,120,93,27,77.5,18.6,7,0,1,0,0,0,6,2,Low,0,False,84.5,Complete at least 7 more credits.
SE1801121,Average,4,6.95,120,73,47,60.83,18.25,27,2,1,1,0,0,6,7,Medium,0,False,62.5,Complete at least 27 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801122,Average,4,6.41,120,64,56,53.33,16.0,36,3,2,1,0,0,6,9,Medium,0,False,53.0,Complete at least 36 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801123,Good,2,7.61,120,42,78,35.0,21.0,58,0,2,1,0,0,6,6,Medium,0,False,51.0,Complete at least 58 more credits. Complete all prerequisite courses.
SE1801124,Excellent,2,8.9,120,44,76,36.67,22.0,56,0,0,0,0,0,5,3,Low,0,False,62.0,Complete at least 56 more credits.
SE1801125,Average,8,6.13,120,116,4,96.67,14.5,0,2,4,1,0,0,8,6,Medium,0,False,78.0,Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801126,Average,3,6.29,120,50,70,41.67,16.67,50,2,1,2,0,0,6,9,Medium,0,False,45.0,Complete at least 50 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801127,Recovery,7,6.43,120,113,7,94.17,16.14,0,2,3,1,0,0,8,6,Medium,0,False,78.5,Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801128,AtRisk,5,5.81,120,84,36,70.0,16.8,16,3,4,1,2,1,7,16,High,1,False,41.0,Complete at least 16 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801129,Good,3,8.08,120,54,66,45.0,18.0,46,0,0,1,0,0,5,5,Low,0,False,61.0,Complete at least 46 more credits. Complete all prerequisite courses.
SE1801130,Average,6,6.57,120,105,15,87.5,17.5,0,2,3,1,1,0,6,8,Medium,0,False,69.5,Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801131,Excellent,7,9.82,120,115,5,95.83,16.43,0,0,0,0,0,0,8,0,Low,0,True,97.5,You are ready for OJT.
SE1801132,Good,2,7.41,120,41,79,34.17,20.5,59,0,0,1,0,0,5,5,Low,0,False,54.5,Complete at least 59 more credits. Complete all prerequisite courses.
SE1801133,Average,2,6.2,120,38,82,31.67,19.0,62,1,1,2,0,0,5,9,Medium,0,False,42.0,Complete at least 62 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801134,Average,6,6.37,120,101,19,84.17,16.83,0,3,4,2,1,0,7,10,Medium,0,False,56.5,Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801135,Good,2,8.05,120,35,85,29.17,17.5,65,1,1,1,0,0,5,7,Medium,0,False,46.5,Complete at least 65 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801136,LateStarter,5,6.32,120,89,31,74.17,17.8,11,2,3,2,0,0,6,8,Medium,0,False,60.5,Complete at least 11 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801137,Average,3,6.62,120,53,67,44.17,17.67,47,3,1,2,1,0,6,12,High,1,False,38.5,Complete at least 47 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801138,Good,5,7.78,120,91,29,75.83,18.2,9,0,2,0,0,0,7,2,Low,0,False,81.5,Complete at least 9 more credits.
SE1801139,Critical,3,3.79,120,35,85,29.17,11.67,65,6,8,2,3,2,5,23,High,1,False,0.0,Complete at least 65 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801140,Good,6,8.42,120,111,9,92.5,18.5,0,0,0,1,0,0,6,2,Low,0,False,89.5,Complete all prerequisite courses.
SE1801141,AtRisk,1,5.68,120,18,102,15.0,18.0,82,4,4,3,2,1,5,19,High,1,False,0.0,Complete at least 82 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801142,Critical,6,4.8,120,86,34,71.67,14.33,14,8,8,4,3,2,7,22,High,1,False,0.0,Complete at least 14 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801143,Good,3,8.43,120,64,56,53.33,21.33,36,1,1,1,0,0,6,7,Medium,0,False,61.0,Complete at least 36 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801144,Good,4,7.48,120,69,51,57.5,17.25,31,1,2,1,0,0,6,7,Medium,0,False,61.5,Complete at least 31 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801145,Average,5,6.03,120,88,32,73.33,17.6,12,3,2,1,0,0,7,7,Medium,0,False,65.0,Complete at least 12 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801146,Average,4,6.8,120,73,47,60.83,18.25,27,2,3,0,1,0,5,8,Medium,0,False,59.5,Complete at least 27 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801147,Good,6,7.46,120,106,14,88.33,17.67,0,0,2,0,0,0,7,1,Low,0,True,89.0,You are ready for OJT.
SE1801148,Good,4,8.42,120,68,52,56.67,17.0,32,1,0,1,0,0,5,6,Medium,0,False,65.0,Complete at least 32 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801149,Average,4,6.2,120,65,55,54.17,16.25,35,3,4,2,0,0,5,11,High,1,False,43.5,Complete at least 35 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801150,Recovery,4,6.02,120,69,51,57.5,17.25,31,1,2,0,0,0,6,6,Medium,0,False,67.5,Complete at least 31 more credits. Retake failed courses as soon as possible.
SE1801151,AtRisk,1,5.28,120,14,106,11.67,14.0,86,3,4,1,2,0,6,15,High,1,False,14.0,Complete at least 86 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801152,Average,2,6.73,120,34,86,28.33,17.0,66,1,1,0,1,0,5,8,Medium,0,False,47.0,Complete at least 66 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801153,AtRisk,4,5.91,120,53,67,44.17,13.25,47,5,6,1,2,1,6,19,High,1,False,15.5,Complete at least 47 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801154,Average,1,6.27,120,17,103,14.17,17.0,83,1,3,2,1,0,6,12,High,1,False,22.5,Complete at least 83 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801155,Average,3,6.4,120,49,71,40.83,16.33,51,2,3,2,0,0,5,10,Medium,0,False,40.5,Complete at least 51 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801156,LateStarter,5,7.15,120,95,25,79.17,19.0,5,4,2,1,0,0,7,6,Medium,0,False,65.5,Complete at least 5 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801157,AtRisk,4,5.47,120,53,67,44.17,13.25,47,5,5,2,1,0,5,17,High,1,False,24.5,Complete at least 47 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801158,Average,3,6.93,120,54,66,45.0,18.0,46,1,1,0,1,0,5,8,Medium,0,False,57.0,Complete at least 46 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801159,Excellent,4,9.12,120,83,37,69.17,20.75,17,0,0,0,0,0,5,2,Low,0,False,81.5,Complete at least 17 more credits.
SE1801160,Good,3,7.84,120,57,63,47.5,19.0,43,1,1,0,0,0,6,5,Low,0,False,63.5,Complete at least 43 more credits. Retake failed courses as soon as possible.
SE1801161,Average,6,6.98,120,94,26,78.33,15.67,6,1,4,2,0,0,6,8,Medium,0,False,64.0,Complete at least 6 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801162,AtRisk,3,5.74,120,38,82,31.67,12.67,62,3,6,1,1,1,6,17,High,1,False,19.0,Complete at least 62 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801163,Good,6,7.73,120,111,9,92.5,18.5,0,1,1,0,0,0,7,2,Low,0,True,90.5,Retake failed courses as soon as possible.
SE1801164,LateStarter,5,7.08,120,86,34,71.67,17.2,14,4,4,2,1,0,6,10,Medium,0,False,46.0,Complete at least 14 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801165,Good,5,8.2,120,99,21,82.5,19.8,1,1,2,1,0,0,6,5,Low,0,False,76.5,Complete at least 1 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801166,Recovery,7,6.52,120,104,16,86.67,14.86,0,1,4,1,0,0,8,6,Medium,0,False,75.0,Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801167,Average,3,6.07,120,45,75,37.5,15.0,55,2,2,0,0,0,6,6,Medium,0,False,52.5,Complete at least 55 more credits. Retake failed courses as soon as possible.
SE1801168,Excellent,5,9.39,120,92,28,76.67,18.4,8,0,0,0,0,0,7,1,Low,0,False,86.0,Complete at least 8 more credits.
SE1801169,Good,7,7.63,120,112,8,93.33,16.0,0,1,2,1,0,0,8,4,Low,0,False,83.0,Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801170,Excellent,3,9.6,120,58,62,48.33,19.33,42,0,0,0,0,0,6,3,Low,0,False,69.0,Complete at least 42 more credits.
SE1801171,Average,6,6.6,120,107,13,89.17,17.83,0,1,2,0,0,0,6,3,Low,0,True,86.5,Retake failed courses as soon as possible.
SE1801172,Recovery,5,5.94,120,85,35,70.83,17.0,15,1,3,0,0,0,7,7,Medium,0,False,73.5,Complete at least 15 more credits. Retake failed courses as soon as possible.
SE1801173,Average,4,6.3,120,63,57,52.5,15.75,37,1,4,1,1,0,6,11,High,1,False,49.5,Complete at least 37 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801174,Good,4,7.79,120,82,38,68.33,20.5,18,0,0,1,0,0,6,4,Low,0,False,75.0,Complete at least 18 more credits. Complete all prerequisite courses.
SE1801175,Average,6,6.68,120,105,15,87.5,17.5,0,3,3,0,0,0,7,5,Low,0,True,77.5,Retake failed courses as soon as possible.
SE1801176,AtRisk,4,5.42,120,67,53,55.83,16.75,33,3,6,2,1,0,5,16,High,1,False,35.5,Complete at least 33 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801177,Average,4,6.01,120,69,51,57.5,17.25,31,2,1,1,1,0,6,10,Medium,0,False,55.5,Complete at least 31 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801178,Excellent,3,9.22,120,54,66,45.0,18.0,46,0,0,0,0,0,6,3,Low,0,False,67.0,Complete at least 46 more credits.
SE1801179,Average,4,6.87,120,63,57,52.5,15.75,37,1,3,0,0,0,5,7,Medium,0,False,62.5,Complete at least 37 more credits. Retake failed courses as soon as possible.
SE1801180,Excellent,6,8.68,120,112,8,93.33,18.67,0,0,0,0,0,0,6,0,Low,0,True,96.0,You are ready for OJT.
SE1801181,Good,5,8.34,120,99,21,82.5,19.8,1,0,2,1,0,0,7,4,Low,0,False,79.5,Complete at least 1 more credits. Complete all prerequisite courses.
SE1801182,AtRisk,5,5.06,120,84,36,70.0,16.8,16,3,5,1,1,1,6,16,High,1,False,44.0,Complete at least 16 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801183,Good,3,7.75,120,52,68,43.33,17.33,48,0,1,1,0,0,6,6,Medium,0,False,58.0,Complete at least 48 more credits. Complete all prerequisite courses.
SE1801184,Average,6,6.09,120,106,14,88.33,17.67,0,1,1,0,0,0,6,3,Low,0,True,88.0,Retake failed courses as soon as possible.
SE1801185,Good,5,7.03,120,90,30,75.0,18.0,10,0,0,1,0,0,6,3,Low,0,False,79.0,Complete at least 10 more credits. Complete all prerequisite courses.
SE1801186,Good,5,8.4,120,91,29,75.83,18.2,9,0,1,0,0,0,6,2,Low,0,False,83.5,Complete at least 9 more credits.
SE1801187,Good,5,7.62,120,91,29,75.83,18.2,9,1,0,0,0,0,7,2,Low,0,False,82.5,Complete at least 9 more credits. Retake failed courses as soon as possible.
SE1801188,Good,4,7.86,120,73,47,60.83,18.25,27,1,2,0,0,0,5,4,Low,0,False,69.5,Complete at least 27 more credits. Retake failed courses as soon as possible.
SE1801189,Average,3,6.7,120,50,70,41.67,16.67,50,3,3,0,1,0,5,10,Medium,0,False,45.0,Complete at least 50 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801190,Average,3,6.22,120,49,71,40.83,16.33,51,1,1,2,0,0,5,9,Medium,0,False,47.5,Complete at least 51 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801191,Average,3,6.56,120,55,65,45.83,18.33,45,3,1,1,0,0,5,9,Medium,0,False,50.5,Complete at least 45 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801192,Good,4,7.5,120,82,38,68.33,20.5,18,0,0,1,0,0,6,4,Low,0,False,75.0,Complete at least 18 more credits. Complete all prerequisite courses.
SE1801193,Average,5,6.43,120,94,26,78.33,18.8,6,3,4,2,1,0,6,11,High,1,False,53.0,Complete at least 6 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801194,Good,4,7.5,120,78,42,65.0,19.5,22,1,1,0,0,0,6,4,Low,0,False,74.0,Complete at least 22 more credits. Retake failed courses as soon as possible.
SE1801195,Average,3,6.57,120,54,66,45.0,18.0,46,1,2,2,0,0,5,9,Medium,0,False,48.0,Complete at least 46 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801196,LateStarter,5,6.34,120,88,32,73.33,17.6,12,2,2,1,0,0,7,6,Medium,0,False,68.0,Complete at least 12 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801197,Good,4,7.98,120,71,49,59.17,17.75,29,0,1,1,0,0,5,5,Low,0,False,67.5,Complete at least 29 more credits. Complete all prerequisite courses.
SE1801198,Critical,4,4.58,120,44,76,36.67,11.0,56,7,5,3,2,2,5,24,High,1,False,0.0,Complete at least 56 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801199,Average,5,6.69,120,95,25,79.17,19.0,5,3,4,1,0,0,7,8,Medium,0,False,64.5,Complete at least 5 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801200,Good,5,7.2,120,100,20,83.33,20.0,0,1,1,1,0,0,7,4,Low,0,False,79.0,Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801201,Average,5,6.58,120,87,33,72.5,17.4,13,3,2,0,1,0,7,7,Medium,0,False,65.5,Complete at least 13 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801202,Average,1,6.59,120,19,101,15.83,19.0,81,1,2,0,1,0,5,8,Medium,0,False,37.5,Complete at least 81 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801203,Good,4,7.51,120,78,42,65.0,19.5,22,0,1,0,0,0,6,3,Low,0,False,77.0,Complete at least 22 more credits.
SE1801204,Average,4,6.26,120,73,47,60.83,18.25,27,1,2,1,0,0,5,7,Medium,0,False,63.5,Complete at least 27 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801205,Good,5,7.98,120,94,26,78.33,18.8,6,0,0,1,0,0,7,3,Low,0,False,81.0,Complete at least 6 more credits. Complete all prerequisite courses.
SE1801206,Excellent,5,9.51,120,103,17,85.83,20.6,0,0,0,0,0,0,7,0,Low,0,True,91.5,You are ready for OJT.
SE1801207,Average,6,6.7,120,103,17,85.83,17.17,0,1,2,1,1,0,6,7,Medium,0,False,73.5,Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801208,Excellent,7,9.56,120,116,4,96.67,16.57,0,0,0,0,0,0,8,0,Low,0,True,98.0,You are ready for OJT.
SE1801209,Good,2,7.73,120,39,81,32.5,19.5,61,0,2,1,0,0,6,6,Medium,0,False,49.5,Complete at least 61 more credits. Complete all prerequisite courses.
SE1801210,Average,5,6.02,120,88,32,73.33,17.6,12,1,3,1,1,0,7,9,Medium,0,False,64.0,Complete at least 12 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801211,Good,5,7.89,120,93,27,77.5,18.6,7,0,2,1,0,0,6,4,Low,0,False,76.5,Complete at least 7 more credits. Complete all prerequisite courses.
SE1801212,Average,2,6.14,120,37,83,30.83,18.5,63,2,3,1,1,0,6,11,High,1,False,35.5,Complete at least 63 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801213,Excellent,3,8.56,120,63,57,52.5,21.0,37,0,0,0,0,0,6,3,Low,0,False,71.5,Complete at least 37 more credits.
SE1801214,Average,3,6.74,120,56,64,46.67,18.67,44,3,1,1,0,0,6,9,Medium,0,False,51.0,Complete at least 44 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801215,LateStarter,5,6.74,120,85,35,70.83,17.0,15,4,2,1,1,0,7,9,Medium,0,False,55.5,Complete at least 15 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801216,Good,5,7.28,120,96,24,80.0,19.2,4,0,2,1,0,0,7,4,Low,0,False,78.0,Complete at least 4 more credits. Complete all prerequisite courses.
SE1801217,Excellent,3,9.67,120,64,56,53.33,21.33,36,0,0,0,0,0,5,3,Low,0,False,72.0,Complete at least 36 more credits.
SE1801218,Good,1,7.48,120,18,102,15.0,18.0,82,1,2,1,0,0,6,7,Medium,0,False,36.0,Complete at least 82 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801219,Average,5,6.34,120,90,30,75.0,18.0,10,2,4,0,1,0,6,7,Medium,0,False,66.0,Complete at least 10 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801220,Average,3,6.39,120,51,69,42.5,17.0,49,1,1,2,1,0,5,11,High,1,False,43.5,Complete at least 49 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801221,Good,8,7.55,120,116,4,96.67,14.5,0,1,1,1,0,0,8,4,Low,0,False,87.0,Complete all prerequisite courses. Retake failed courses as soon as possible.
SE1801222,Average,3,6.35,120,51,69,42.5,17.0,49,2,1,1,1,0,6,10,Medium,0,False,46.5,Complete at least 49 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.
SE1801223,Recovery,2,6.41,120,29,91,24.17,14.5,71,1,3,0,0,0,6,7,Medium,0,False,45.5,Complete at least 71 more credits. Retake failed courses as soon as possible.
SE1801224,Good,3,8.16,120,61,59,50.83,20.33,39,1,2,1,0,0,6,7,Medium,0,False,57.5,Complete at least 39 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.
